ETL_YMD,O_CELL_ID,O_CELL_TP,D_CELL_ID,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT,lon_o,lat_o,lon_d,lat_d
20240314,다사48754775,2,다사50004725,1,8,8,1,2,348,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9213785,37.52876632,126.935559,37.52432819
20240327,다사67508300,1,다사68508375,0,14,14,1,7,344,9,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,127.1320152,37.8473304,127.1433488,37.85412508
20240311,다사53004275,2,다사54004350,1,7,7,1,2,340,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9697959,37.48392584,126.9810597,37.49073604
20240329,다사59502025,1,다사59251925,2,12,12,2,3,331,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0445435,37.2814278,127.041778,37.2724032
20240307,다사49752475,2,다사50252550,0,7,7,1,7,331,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9342578,37.32151442,126.9398506,37.3283014
20240305,다사31004175,0,다사30004200,0,17,17,1,7,319,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,126.7210647,37.4735343,126.7097325,37.47571242
20240324,다사61005775,0,다사61005900,0,10,11,1,7,319,524,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0594863,37.61949707,127.0594198,37.63076358
20240331,다사39754100,0,다사38754150,2,14,14,1,3,318,72,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8200764,37.46738539,126.8087271,37.47182631
20240303,다사60006425,0,다사60006300,0,11,11,1,7,317,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0478,37.67803975,127.0478684,37.66677334
20240301,다사57505800,2,다사57255700,0,9,9,1,7,313,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0198127,37.62159564,127.0170381,37.61257091
20240306,다사46250000,2,다바47009925,0,8,8,1,7,312,156,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,126.8965357,37.09823219,126.9050282,37.09151449
20240307,다사36256450,2,다사35256450,0,17,17,1,7,312,103,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7784587,37.67895277,126.7671191,37.67888285
20240308,다사41002450,0,다사41252350,2,17,18,1,3,311,1036,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,126.8355252,37.31874772,126.8384256,37.30975019
20240328,다사42254425,0,다사41504350,2,21,21,1,3,298,137,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8480915,37.49683728,126.8396668,37.49003034
20240327,다사24754625,2,다사24254550,0,10,10,1,7,295,174,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6499281,37.51360429,126.6443482,37.50680395
20240316,다사51505000,2,다사51004900,1,9,9,1,1,295,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,126.9523527,37.54919439,126.9467591,37.54015483
20240319,다사65502250,0,다사66252275,2,20,20,1,3,292,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0,0,127.1121218,37.30194987,127.1205731,37.30423075
20240309,다사49504300,1,다사50504300,2,15,16,1,3,290,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,126.9301919,37.48599486,126.9415028,37.48604887
20240325,다사51751350,0,다사50751325,2,21,21,1,3,289,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,126.957558,37.22021707,126.9463035,37.21791149
20240325,다사36005675,0,다사35505600,0,15,16,1,7,287,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,126.7763018,37.60908678,126.7707033,37.60229233
20240313,다사62756125,1,다사62756225,2,22,23,1,3,287,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0791381,37.65111568,127.0790873,37.66012887
20240310,다사43752175,2,다사43752275,0,13,13,1,7,286,172,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8667684,37.29413106,126.8666928,37.30314448
20240323,다사69504300,0,다사69004400,2,11,12,1,3,285,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,127.1564135,37.48686934,127.1507159,37.49586627
20240318,다사26256125,0,다사27256125,2,11,12,1,3,283,1049,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6653918,37.648914,126.6767266,37.64899365
20240318,다사55502275,0,다사54752325,2,17,17,1,3,282,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,126.999273,37.30377969,126.99078,37.30825039
20240326,다사46254325,1,다사46004425,0,17,17,1,7,281,39,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8934137,37.48806515,126.8905127,37.49706376
20240313,다사37253825,0,다사38253875,0,22,22,1,7,280,62,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7920407,37.44243346,126.8033029,37.44700718
20240304,다사55755300,0,다사56255200,1,15,15,1,7,280,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0002841,37.57644742,127.0060059,37.56745803
